listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17135689,DONNYBROOK,3064,595.0,2578.0,"Wednesday, 21 August 2024",2025-07-29,41,4,2,2,House,12 Forresters Road,-37.54449,145.01248,2025-09-09 16:48:00,17135689,ZD-5775-WO,3,0,0,False,House,House,Raine & Horne Blackburn,29609,"Rupa Mane, Patrick Mane","Internal Laundry, Secure Parking, Dishwasher, Ensuite",https://www.domain.com.au/12-forresters-road-donnybrook-vic-3064-17135689
17648239,DONNYBROOK,3064,495.0,2145.0,"Friday, 11 July 2025",2025-07-01,69,4,2,2,House,13 Mound Avenue,-37.535957,144.98734,2025-09-09 16:48:00,17648239,,11,0,0,False,House,House,KLK Real Estate,38371,Leila Khaled,"Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/13-mound-avenue-donnybrook-vic-3064-17648239
17653856,DONNYBROOK,3064,580.0,2520.0,"Friday, 04 July 2025",2025-07-04,67,4,2,2,House,26 Feedwater Road,-37.53969,144.97939,2025-09-09 16:48:00,17653856,,16,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,Eminda Ruwin,,https://www.domain.com.au/26-feedwater-road-donnybrook-vic-3064-17653856
17696249,DONNYBROOK,3064,495.0,2145.0,"Friday, 01 August 2025",2025-08-01,39,4,2,2,House,8 Bawley Road,-37.544678,145.01857,2025-09-09 16:48:00,17696249,,14,0,0,False,House,House,Pinewoods,39169,"Rady Sandhu, Shailesh Goswami","Internal Laundry, Secure Parking, Heating, Dishwasher, Ensuite",https://www.domain.com.au/8-bawley-road-donnybrook-vic-3064-17696249
17708712,DONNYBROOK,3064,480.0,2086.0,"Monday, 25 August 2025",2025-08-11,29,3,2,2,House,22 Thornbury Street,-37.54669,144.96031,2025-09-09 16:48:00,17708712,,16,0,1,False,House,House,Bombay Real Estate Pty Ltd,29247,Samantha Ashley,"Built in wardrobes, Heating, Solar panels, Balcony / Deck",https://www.domain.com.au/22-thornbury-street-donnybrook-vic-3064-17708712
17715136,DONNYBROOK,3064,530.0,2303.0,"Tuesday, 12 August 2025",2025-08-14,26,4,2,2,House,54 Farm Crescent,-37.534676,144.98839,2025-09-09 16:48:00,17715136,,16,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,Samantha Ashley,"Built in wardrobes, Heating, Dishwasher",https://www.domain.com.au/54-farm-crescent-donnybrook-vic-3064-17715136
17722523,DONNYBROOK,3064,470.0,2042.0,"Tuesday, 19 August 2025",2025-08-19,21,3,2,2,House,3A Spring Road,-37.542164,144.96858,2025-09-09 16:48:00,17722523,,12,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,"Amandeep Kaur, Samantha Ashley","Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/3a-spring-road-donnybrook-vic-3064-17722523
17732869,DONNYBROOK,3064,480.0,2085.0,"Tuesday, 26 August 2025",2025-08-26,14,4,2,2,House,7 Bluey's Rd,-37.541298,145.0149,2025-09-09 16:48:00,17732869,,11,0,0,False,House,House,Reventon Residential,26980,Chantelle Boudoloh,"Alarm System, Rumpus Room, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Evaporative Cooling, Remote Garage, Fully fenced",https://www.domain.com.au/7-bluey-s-rd-donnybrook-vic-3064-17732869
17739770,DONNYBROOK,3064,450.0,1955.0,"Friday, 29 August 2025",2025-09-01,8,3,2,2,House,31 Pitton Walk,-37.550243,144.96176,2025-09-09 16:48:00,17739770,,12,1,0,False,House,House,Ray White Craigieburn,4110,Ray White Craigieburn,"Internal Laundry, Bath, Built in wardrobes, Heating, Dishwasher, Secure Parking",https://www.domain.com.au/31-pitton-walk-donnybrook-vic-3064-17739770
17742852,DONNYBROOK,3064,560.0,2433.0,"Tuesday, 02 September 2025",2025-09-02,7,4,3,2,House,13 Cheddar Street,-37.54831,144.99684,2025-09-09 16:48:00,17742852,,18,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,"Samantha Ashley, Eminda Ruwin","Secure Parking, Heating, Ensuite",https://www.domain.com.au/13-cheddar-street-donnybrook-vic-3064-17742852
17744215,DONNYBROOK,3064,520.0,2260.0,"Tuesday, 02 September 2025",2025-09-02,6,4,2,2,House,14 Dome Avenue,-37.541912,144.98602,2025-09-09 16:48:00,17744215,,11,0,0,False,House,House,THE LANCORE WEST AND NORTH,35534,Jot  Dhaliwal,,https://www.domain.com.au/14-dome-avenue-donnybrook-vic-3064-17744215
17750518,DONNYBROOK,3064,515.0,2238.0,"Monday, 13 October 2025",2025-09-08,1,4,2,2,House,549 Cameron Street,-37.52649,144.95776,2025-09-09 16:48:00,17750518,,14,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,"Samantha Ashley, Eminda Ruwin","Secure Parking, Heating",https://www.domain.com.au/549-cameron-street-donnybrook-vic-3064-17750518
17751137,DONNYBROOK,3064,670.0,2911.0,"Monday, 08 September 2025",2025-09-08,1,6,3,2,House,3 Arizona Circuit,-37.543926,144.98851,2025-09-09 16:48:00,17751137,,29,0,1,False,House,House,Bombay Real Estate Pty Ltd,29247,"Eminda Ruwin, Samantha Ashley","Dishwasher, Study",https://www.domain.com.au/3-arizona-circuit-donnybrook-vic-3064-17751137
17751154,DONNYBROOK,3064,500.0,2173.0,"Monday, 08 September 2025",2025-09-08,1,4,2,2,House,3 Dome Avenue,-37.541393,144.98648,2025-09-09 16:48:00,17751154,,11,1,0,False,House,House,Ray White Craigieburn,4110,Ray White Craigieburn,"Internal Laundry, Secure Parking, Intercom, Bath, Heating, Dishwasher",https://www.domain.com.au/3-dome-avenue-donnybrook-vic-3064-17751154
17751309,DONNYBROOK,3064,420.0,1825.0,"Monday, 08 September 2025",2025-09-08,1,3,2,2,House,16 Molesworth Crescent,-37.54088,144.99054,2025-09-09 16:48:00,17751309,,15,0,0,False,House,House,Barry Plant Craigieburn,15326,Melissa Chatfield,"Bath, Dishwasher",https://www.domain.com.au/16-molesworth-crescent-donnybrook-vic-3064-17751309
