listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15393921,RESERVOIR,3073,540,2456.0,"Tuesday, 19 August 2025",2022-08-11,1125,2,1,2.0,Townhouse,2/15 Dennis Street,-37.7179,145.0124,2025-09-09 16:38:52,15393921,KR-4064-AN,16,1,0,False,Townhouse/Villa,Townhouse,BRW Group,34868,Support Team,"Secure Parking, Broadband internet access",https://www.domain.com.au/2-15-dennis-street-reservoir-vic-3073-15393921
16326103,RESERVOIR,3073,475,2064.0,"Monday, 18 August 2025",2025-07-14,56,2,1,1.0,Apartment / Unit / Flat,3/89 Purinuan Road,-37.7089,145.02548,2025-09-09 16:38:52,16326103,UO-4081-RV,10,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Reservoir,15989,Laura Demajo,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/3-89-purinuan-road-reservoir-vic-3073-16326103
16536810,RESERVOIR,3073,600,2600.0,"Friday, 01 August 2025",2023-06-27,804,2,2,1.0,Townhouse,4/13 Newton Street,-37.73207,145.02765,2025-09-09 16:38:52,16536810,XP-6052-EC,15,1,0,True,Townhouse/Villa,Townhouse,BRW Group,34868,,"Air conditioning, Built in wardrobes",https://www.domain.com.au/4-13-newton-street-reservoir-vic-3073-16536810
17661758,RESERVOIR,3073,525,2282.0,"Friday, 18 July 2025",2025-09-08,1,3,1,3.0,House,15 Mcfadzen Avenue,-37.710228,144.99731,2025-09-09 16:38:52,17661758,,13,0,1,False,House,House,Ascot Investment Management,38193,Andy Lusi,,https://www.domain.com.au/15-mcfadzen-avenue-reservoir-vic-3073-17661758
17683519,RESERVOIR,3073,450,1955.0,"Monday, 04 August 2025",2025-07-24,47,2,1,1.0,Apartment / Unit / Flat,3/53-55 Blake Street,-37.73228,145.03584,2025-09-09 16:38:52,17683519,,6,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Eltham,30467,"Bill Diamantopoulos, Chloe Dwyer-Fraser","Internal Laundry, Heating, Secure Parking, Air conditioning, Garden / Courtyard, Built in wardrobes, Floorboards, Gas",https://www.domain.com.au/3-53-55-blake-street-reservoir-vic-3073-17683519
17715347,RESERVOIR,3073,480,2086.0,"Thursday, 14 August 2025",2025-08-14,26,2,1,2.0,Apartment / Unit / Flat,2/76C Purinuan Road,-37.708298,145.02423,2025-09-09 16:38:52,17715347,,13,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Reservoir,15989,Cesar Sario,"Built in wardrobes, Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/2-76c-purinuan-road-reservoir-vic-3073-17715347
17717827,RESERVOIR,3073,450,1955.0,"Thursday, 25 September 2025",2025-08-15,25,2,1,1.0,House,2/25 Cheddar Road,-37.71137,145.0104,2025-09-09 16:38:52,17717827,,6,0,0,False,House,House,Love & Co Reservoir,7121,Rebecca Imbrosciano,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Bath, Heating, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/2-25-cheddar-road-reservoir-vic-3073-17717827
17718081,RESERVOIR,3073,690,2998.0,"Friday, 15 August 2025",2025-08-15,25,3,2,2.0,Townhouse,3/76 Orrong Ave,-37.711983,145.0147,2025-09-09 16:38:52,17718081,,6,0,0,False,Townhouse/Villa,Townhouse,Ray White Reservoir,15989,Cesar Sario,"Built in wardrobes, Internal Laundry, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/3-76-orrong-ave-reservoir-vic-3073-17718081
17718308,RESERVOIR,3073,570,2477.0,"Thursday, 15 May 2025",2025-08-15,24,2,1,2.0,Townhouse,2/90 Arundel Avenue,-37.69568,145.01355,2025-09-09 16:38:52,17718308,,11,0,0,False,Townhouse/Villa,Townhouse,Ray White Reservoir,15989,Cesar Sario,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/2-90-arundel-avenue-reservoir-vic-3073-17718308
17722146,RESERVOIR,3073,560,2433.0,"Tuesday, 16 September 2025",2025-08-19,21,2,1,1.0,Townhouse,2/9 Storey Road,-37.72418,145.01463,2025-09-09 16:38:52,17722146,,10,0,1,False,Townhouse/Villa,Townhouse, Jellis Craig & Company Pty Ltd,6525,Thea Toogood,Dishwasher,https://www.domain.com.au/2-9-storey-road-reservoir-vic-3073-17722146
17729339,RESERVOIR,3073,575,2607.0,"Monday, 25 August 2025",2025-08-25,15,3,1,1.0,Villa,5/70 Yarra Avenue,-37.718487,145.01704,2025-09-09 16:38:52,17729339,,8,1,1,True,Townhouse/Villa,Villa,Metropole Properties Melbourne,18456,Nelly Javaherdoost,"Internal Laundry, Secure Parking, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Evaporative Cooling, Courtyard",https://www.domain.com.au/5-70-yarra-avenue-reservoir-vic-3073-17729339
17730890,RESERVOIR,3073,495,2151.0,"Monday, 25 August 2025",2025-08-25,14,2,1,1.0,Apartment / Unit / Flat,2/17 Fyfe Street,-37.705452,145.01166,2025-09-09 16:38:52,17730890,,11,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Reservoir,15989,Cesar Sario,"Internal Laundry, Secure Parking, Heating, Solar panels, Balcony / Deck",https://www.domain.com.au/2-17-fyfe-street-reservoir-vic-3073-17730890
17742490,RESERVOIR,3073,580,2520.0,"Wednesday, 24 September 2025",2025-09-02,7,3,1,1.0,Townhouse,1/32 Orrong Avenue,-37.71369,145.01132,2025-09-09 16:38:52,17742490,,8,0,0,False,Townhouse/Villa,Townhouse,Love & Co Reservoir,7121,Maggie Rossi,"Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/1-32-orrong-avenue-reservoir-vic-3073-17742490
17747448,RESERVOIR,3073,750,3259.0,"Monday, 15 September 2025",2025-09-04,5,3,2,2.0,Townhouse,2/26 Harbury Street,-37.713398,145.00037,2025-09-09 16:38:52,17747448,,13,0,0,False,Townhouse/Villa,Townhouse,Ray White Preston,28013,Susie Liu,"Air conditioning, Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/2-26-harbury-street-reservoir-vic-3073-17747448
17750373,RESERVOIR,3073,585,2535.0,"Monday, 15 September 2025",2025-09-07,2,3,1,4.0,House,34 Winter Crescent,-37.71828,145.02731,2025-09-09 16:38:52,17750373,,7,0,0,False,House,House,For Sale By Owner,20095,For Rent (VIC),"Internal Laundry, Air conditioning, Heating, Modern Bathroom, Modern Kitchen, Renovated Bathroom, Security Lights",https://www.domain.com.au/34-winter-crescent-reservoir-vic-3073-17750373
17750637,RESERVOIR,3073,530,2303.0,"Friday, 10 October 2025",2025-09-08,1,2,2,1.0,Apartment / Unit / Flat,3/5 Cuthbert Road,-37.717545,145.01982,2025-09-09 16:38:52,17750637,,15,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Reservoir,15050,Sophia  Mouratidis,"Gas, Internal Laundry, Intercom, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Courtyard, Split system Air Con",https://www.domain.com.au/3-5-cuthbert-road-reservoir-vic-3073-17750637
17752308,RESERVOIR,3073,500,2173.0,"Saturday, 13 September 2025",2025-09-08,0,2,1,1.0,Apartment / Unit / Flat,4/20 Ashley Street,-37.717937,145.0028,2025-09-09 16:38:52,17752308,,11,0,0,False,Apartment,Apartment / Unit / Flat,Love & Co Reservoir,7121,Austin Pillay,"Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Car Parking - Surface, Split System",https://www.domain.com.au/4-20-ashley-street-reservoir-vic-3073-17752308
17752546,RESERVOIR,3073,670,2911.0,"Friday, 19 September 2025",2025-09-08,0,3,2,2.0,House,5 Strathmerton Street,-37.71754,145.02034,2025-09-09 16:38:52,17752546,,8,0,1,False,House,House,hockingstuart Preston,2630,Nathan Besterwitch,"Air conditioning, Close to transport, Close to shops, Close to schools, Solar panels, Dishwasher",https://www.domain.com.au/5-strathmerton-street-reservoir-vic-3073-17752546
17752707,RESERVOIR,3073,520,2260.0,"Tuesday, 09 September 2025",2025-09-09,0,2,1,4.0,House,191 Spring Street,-37.722164,145.0018,2025-09-09 16:38:52,17752707,,7,0,0,False,House,House,First National Real Estate Meadow Heights,18476,Leanne Abdallah,,https://www.domain.com.au/191-spring-street-reservoir-vic-3073-17752707
17754330,RESERVOIR,3073,480,2086.0,"Tuesday, 09 September 2025",2025-09-09,0,3,1,2.0,Apartment / Unit / Flat,2/1A Whitby Street,-37.71167,145.00279,2025-09-09 16:38:52,17754330,,15,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Reservoir,15989,Cesar Sario,,https://www.domain.com.au/2-1a-whitby-street-reservoir-vic-3073-17754330
15211033,RESERVOIR,3073,700,3042.0,"Tuesday, 12 August 2025",2025-07-17,54,3,2,2.0,Townhouse,2/22 Olive Street,-37.71699,145.00449,2025-09-09 16:38:58,15211033,TY-7980-QF,10,0,0,False,Townhouse/Villa,Townhouse,Ray White Preston,28013,Susie Liu,"Internal Laundry, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/2-22-olive-street-reservoir-vic-3073-15211033
15961816,RESERVOIR,3073,460,1999.0,"Wednesday, 01 October 2025",2025-09-04,5,3,1,1.0,Apartment / Unit / Flat,18 Elinda Place,-37.69768,145.02332,2025-09-09 16:38:58,15961816,,10,0,1,False,Apartment,Apartment / Unit / Flat,Ray White Preston,28013,Susie Liu,"Built in wardrobes, Bath, Heating, Balcony / Deck",https://www.domain.com.au/18-elinda-place-reservoir-vic-3073-15961816
16715540,RESERVOIR,3073,720,3129.0,"Tuesday, 22 July 2025",2025-06-26,75,3,2,2.0,Townhouse,6/24 Olive Street,-37.716866,145.00471,2025-09-09 16:38:58,16715540,HQ-5936-NG,11,0,0,False,Townhouse/Villa,Townhouse,Ray White Preston,28013,Susie Liu,"Internal Laundry, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/6-24-olive-street-reservoir-vic-3073-16715540
17214780,RESERVOIR,3073,395,1716.0,"Friday, 05 September 2025",2025-08-25,15,1,1,1.0,House,5/43 Hickford Street,-37.70611,145.02588,2025-09-09 16:38:58,17214780,FN-5534-VO,5,0,1,False,House,House,Exchanged Real Estate,29940,"Kaye McClintock, Glenn Halliday",,https://www.domain.com.au/5-43-hickford-street-reservoir-vic-3073-17214780
17642400,RESERVOIR,3073,675,2933.0,"Thursday, 24 July 2025",2025-06-27,74,3,2,2.0,Townhouse,3/42-44 Crevelli Street,-37.72918,145.0303,2025-09-09 16:38:58,17642400,,6,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Doncaster,18680,"Mark Hewett, Chantelle Petty","Gas, Internal Laundry, Study, Air conditioning, Split System Air Con, Balcony / Deck, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Remote Garage",https://www.domain.com.au/3-42-44-crevelli-street-reservoir-vic-3073-17642400
17683290,RESERVOIR,3073,620,2694.0,"Saturday, 02 August 2025",2025-07-24,47,2,2,1.0,Townhouse,3/98 Summerhill Road,-37.72594,145.0258,2025-09-09 16:38:58,17683290,,9,0,0,False,Townhouse/Villa,Townhouse,LongView Real Estate,7797,Stephanie Wallace,"Internal Laundry, Broadband internet access, Study, Dishwasher, Gas Appliances, Ensuite(s), Balcony, Remote Garage, City Views",https://www.domain.com.au/3-98-summerhill-road-reservoir-vic-3073-17683290
17696475,RESERVOIR,3073,540,2346.0,"Friday, 08 August 2025",2025-08-01,39,1,1,1.0,Apartment / Unit / Flat,5/98 Summerhill Road,-37.725853,145.0259,2025-09-09 16:38:58,17696475,,13,0,0,False,Apartment,Apartment / Unit / Flat,LongView Real Estate,7797,Stephanie Wallace,"Gas, Internal Laundry, Broadband internet access, Dishwasher, Balcony, Remote Garage",https://www.domain.com.au/5-98-summerhill-road-reservoir-vic-3073-17696475
17701361,RESERVOIR,3073,580,2521.0,"Saturday, 16 August 2025",2025-08-05,35,3,1,2.0,Apartment / Unit / Flat,79 Cuthbert Road,-37.716625,145.01329,2025-09-09 16:38:58,17701361,,11,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Reservoir,15989,Cesar Sario,"Internal Laundry, Bath, Heating, Dishwasher",https://www.domain.com.au/79-cuthbert-road-reservoir-vic-3073-17701361
17717444,RESERVOIR,3073,690,2998.0,"Friday, 15 August 2025",2025-08-15,25,3,2,2.0,House,2/76 Orrong Ave,-37.711903,145.01468,2025-09-09 16:38:58,17717444,,8,0,0,False,House,House,Ray White Reservoir,15989,Cesar Sario,"Internal Laundry, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/2-76-orrong-ave-reservoir-vic-3073-17717444
17730932,RESERVOIR,3073,700,3042.0,"Monday, 25 August 2025",2025-08-25,14,3,2,2.0,Townhouse,1/8 Evans Cres,-37.715343,145.02005,2025-09-09 16:38:58,17730932,,20,0,0,False,Townhouse/Villa,Townhouse,Ray White Reservoir,15989,Cesar Sario,"Internal Laundry, Secure Parking, Heating, Study",https://www.domain.com.au/1-8-evans-cres-reservoir-vic-3073-17730932
17732890,RESERVOIR,3073,600,2608.0,"Saturday, 30 August 2025",2025-08-26,14,3,1,2.0,House,169 Cheddar Road,-37.69639,145.02159,2025-09-09 16:38:58,17732890,,10,0,0,False,House,House,Ray White Reservoir,15989,Cesar Sario,"Study, Floorboards, Built in wardrobes, Heating, Dishwasher, Fully fenced",https://www.domain.com.au/169-cheddar-road-reservoir-vic-3073-17732890
17735041,RESERVOIR,3073,490,2129.0,"Wednesday, 27 August 2025",2025-08-27,13,2,1,2.0,House,21 Summerhill Road,-37.7273,145.03322,2025-09-09 16:38:58,17735041,,9,0,0,False,House,House,Ray White Reservoir,15989,Cesar Sario,"Internal Laundry, Bath",https://www.domain.com.au/21-summerhill-road-reservoir-vic-3073-17735041
17737688,RESERVOIR,3073,540,2346.0,"Tuesday, 10 June 2025",2025-08-29,11,2,1,1.0,Apartment / Unit / Flat,2/1 Broadhurst Avenue,-37.709095,145.00816,2025-09-09 16:38:58,17737688,,7,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Eltham,30467,"Carmel Franze, Kiana Arriagada","Built in wardrobes, Secure Parking, Bath, Heating",https://www.domain.com.au/2-1-broadhurst-avenue-reservoir-vic-3073-17737688
17737699,RESERVOIR,3073,470,2042.0,"Saturday, 30 August 2025",2025-08-29,11,2,1,1.0,Apartment / Unit / Flat,3/1 Broadhurst Avenue,-37.709286,145.00809,2025-09-09 16:38:58,17737699,,9,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Eltham,30467,"Carmel Franze, Kiana Arriagada","Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/3-1-broadhurst-avenue-reservoir-vic-3073-17737699
17744920,RESERVOIR,3073,530,2303.0,"Monday, 29 September 2025",2025-09-03,6,3,1,1.0,Townhouse,2/5 Crabtree Court,-37.72927,145.03148,2025-09-09 16:38:58,17744920,,8,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Reservoir,15050,Vanessa Pavia,"Built in wardrobes, Dishwasher, Air conditioning, Heating, Close to transport, Close to shops, Alarm System, Close to schools, Carpeted, Security System, Floorboards, Courtyard, Split system Air Con",https://www.domain.com.au/2-5-crabtree-court-reservoir-vic-3073-17744920
17746172,RESERVOIR,3073,630,2738.0,"Wednesday, 03 September 2025",2025-09-03,5,2,2,1.0,Townhouse,2/89 Mcmahon Road,-37.71091,145.01561,2025-09-09 16:38:58,17746172,,18,0,0,False,Townhouse/Villa,Townhouse,Nelson Alexander Reservoir,30296,Julie Pasin,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/2-89-mcmahon-road-reservoir-vic-3073-17746172
17746190,RESERVOIR,3073,500,2173.0,"Friday, 03 October 2025",2025-09-03,5,2,1,1.0,Apartment / Unit / Flat,6/40 Godley Street,-37.702614,144.98857,2025-09-09 16:38:58,17746190,,17,0,0,False,Apartment,Apartment / Unit / Flat, Love & Co  ,7123,Surendra Subedi,Built in wardrobes,https://www.domain.com.au/6-40-godley-street-reservoir-vic-3073-17746190
17747038,RESERVOIR,3073,530,2303.0,"Friday, 10 October 2025",2025-09-04,5,3,1,3.0,House,22 Hughes Parade,-37.69747,145.00815,2025-09-09 16:38:58,17747038,,10,0,0,False,House,House,Barry Plant Reservoir,15050,Monica Dimitrijeska,"Internal Laundry, Secure Parking, Air conditioning, Heating, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/22-hughes-parade-reservoir-vic-3073-17747038
17747586,RESERVOIR,3073,670,2912.0,"Wednesday, 10 September 2025",2025-09-04,5,3,2,2.0,House,11a Lloyd Avenue,-37.698315,145.01671,2025-09-09 16:38:58,17747586,,6,0,0,False,House,House,Harcourts Coburg,34825,"Amber Howlett, Shae Williams","Air conditioning, Alarm System, Intercom, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Secure Parking, Fully fenced, Balcony / Deck, Garden / Courtyard",https://www.domain.com.au/11a-lloyd-avenue-reservoir-vic-3073-17747586
17748443,RESERVOIR,3073,600,2607.0,"Monday, 29 September 2025",2025-09-05,4,2,2,2.0,Townhouse,1/209 Purinuan Road,-37.70713,145.01082,2025-09-09 16:38:58,17748443,,14,0,0,False,Townhouse/Villa,Townhouse,Nelson Alexander Reservoir,30296,Julie Pasin,"Internal Laundry, Secure Parking, Heating, Dishwasher, Balcony / Deck, Air conditioning, Reverse Cycle Air Con",https://www.domain.com.au/1-209-purinuan-road-reservoir-vic-3073-17748443
15359672,RESERVOIR,3073,420,1825.0,"Monday, 08 September 2025",2025-08-05,35,1,1,1.0,Townhouse,3/70 Miranda Road,-37.706608,145.01967,2025-09-09 16:39:03,15359672,PE-9791-FL,5,0,0,False,Townhouse/Villa,Townhouse,Ray White Reservoir,15989,Laura Demajo,"Gas, Internal Laundry, Heating, Air conditioning, Floorboards, Built in wardrobes",https://www.domain.com.au/3-70-miranda-road-reservoir-vic-3073-15359672
15661895,RESERVOIR,3073,510,2216.0,"Monday, 01 September 2025",2025-08-26,13,3,1,3.0,House,55 Hughes Parade,-37.700188,145.00095,2025-09-09 16:39:03,15661895,ID-5558-KA,12,0,0,False,House,House,Ray White Reservoir,15989,Laura Demajo,"Air conditioning, Built in wardrobes, Gas, Internal Laundry, Heating",https://www.domain.com.au/55-hughes-parade-reservoir-vic-3073-15661895
15799953,RESERVOIR,3073,510,2216.0,"Monday, 01 September 2025",2025-08-18,22,2,1,1.0,Apartment / Unit / Flat,3/18 George Street,-37.71797,145.00075,2025-09-09 16:39:03,15799953,DO-7212-NJ,8,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Reservoir,15989,Laura Demajo,"Built in wardrobes, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/3-18-george-street-reservoir-vic-3073-15799953
16282040,RESERVOIR,3073,420,1825.0,"Wednesday, 20 August 2025",2025-08-14,26,1,1,,Apartment / Unit / Flat,193B Edwardes Street,-37.71543,144.9962,2025-09-09 16:39:03,16282040,,7,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Reservoir,15989,Laura Demajo,"Gas, Internal Laundry, Heating",https://www.domain.com.au/193b-edwardes-street-reservoir-vic-3073-16282040
17068865,RESERVOIR,3073,700,3042.0,"Tuesday, 09 September 2025",2025-08-20,19,3,2,2.0,Townhouse,1/8 Oulton Crescent,-37.72697,145.02876,2025-09-09 16:39:03,17068865,WX-1504-AL,10,0,0,False,Townhouse/Villa,Townhouse,Ray White Reservoir,15989,Laura Demajo,"Heating, Balcony / Deck",https://www.domain.com.au/1-8-oulton-crescent-reservoir-vic-3073-17068865
