listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15479194,TRUGANINA,3029,535.0,2325.0,"Wednesday, 24 September 2025",2025-09-09,0,4,2,2.0,House,6 Roccella Avenue,-37.74779,144.6778,2025-09-09 16:31:30,15479194,KV-5664-DR,13,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi",,https://www.domain.com.au/6-roccella-avenue-truganina-vic-3029-15479194
15646176,TRUGANINA,3029,625.0,2716.0,"Tuesday, 09 September 2025",2025-09-09,0,4,2,2.0,House,24 Scottsmith Crescent,-37.83631,144.71916,2025-09-09 16:31:30,15646176,YN-5386-ZI,14,1,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi","Heating, Dishwasher, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/24-scottsmith-crescent-truganina-vic-3029-15646176
15724377,TRUGANINA,3029,540.0,2346.0,"Wednesday, 15 October 2025",2025-09-04,5,3,2,1.0,House,52 Lucerne Drive,-37.816185,144.7102,2025-09-09 16:31:30,15724377,WQ-7317-KR,15,0,0,False,House,House,Ray White Truganina,29324,"Mehreen Tariq, Palak Joshi","Heating, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/52-lucerne-drive-truganina-vic-3029-15724377
15906880,TRUGANINA,3029,450.0,1955.0,"Monday, 29 September 2025",2025-09-08,1,3,2,1.0,House,2/28 Orlando Drive,-37.841858,144.72752,2025-09-09 16:31:30,15906880,ZU-6066-UV,11,0,0,False,House,House,Ray White Point Cook,29063,"Palak Grover, Makayla Hurinui","Secure Parking, Heating",https://www.domain.com.au/2-28-orlando-drive-truganina-vic-3029-15906880
16524652,TRUGANINA,3029,580.0,2520.0,"Friday, 26 September 2025",2025-08-12,28,4,2,2.0,House,53 Lucerne Drive,-37.816505,144.70969,2025-09-09 16:31:30,16524652,FF-6071-CS,12,0,0,False,House,House,Ray White Truganina,29324,"Mehreen Tariq, Palak Joshi","Secure Parking, Heating",https://www.domain.com.au/53-lucerne-drive-truganina-vic-3029-16524652
17156776,TRUGANINA,3029,640.0,2781.0,"Tuesday, 07 October 2025",2025-09-08,1,4,2,2.0,House,43 Belvedere Drive,-37.82033,144.71889,2025-09-09 16:31:30,17156776,BL-8634-LG,25,0,0,False,House,House,Ray White Tarneit,23886,"Marvin Paed, Savi Sarain","Secure Parking, Heating",https://www.domain.com.au/43-belvedere-drive-truganina-vic-3029-17156776
17301972,TRUGANINA,3029,490.0,2129.0,"Tuesday, 30 September 2025",2025-09-08,1,3,2,1.0,House,340 Forsyth Rd,-37.841663,144.73222,2025-09-09 16:31:30,17301972,WR-0366-GO,9,0,0,False,House,House,Image Property South Melbourne,31002,Kimmy Nel,"Secure Parking, Heating, Dishwasher",https://www.domain.com.au/340-forsyth-rd-truganina-vic-3029-17301972
17716720,TRUGANINA,3029,520.0,2260.0,"Monday, 18 August 2025",2025-08-15,25,4,2,2.0,House,38 Caucasus Street,-37.76242,144.69594,2025-09-09 16:31:30,17716720,,15,0,0,False,House,House,Sweeney Estate Agents Caroline Springs,7932,Diana Simic,Heating,https://www.domain.com.au/38-caucasus-street-truganina-vic-3029-17716720
17750504,TRUGANINA,3029,640.0,2781.0,"Monday, 29 September 2025",2025-09-08,1,4,2,2.0,House,7 Freemont Circuit,-37.845825,144.73009,2025-09-09 16:31:30,17750504,,23,0,0,False,House,House,Ray White Truganina,29324,"Mounika Reddy, Palak Joshi","Secure Parking, Study",https://www.domain.com.au/7-freemont-circuit-truganina-vic-3029-17750504
17750517,TRUGANINA,3029,495.0,2151.0,"Friday, 05 September 2025",2025-09-08,1,3,2,1.0,House,27 Seaford Circuit,-37.849316,144.7279,2025-09-09 16:31:30,17750517,,6,0,0,False,House,House,.established Property,4979,Established Property Leasing,"Secure Parking, Heating, Dishwasher",https://www.domain.com.au/27-seaford-circuit-truganina-vic-3029-17750517
17750709,TRUGANINA,3029,515.0,2238.0,"Saturday, 04 October 2025",2025-09-08,1,4,2,2.0,House,6 Bushfield Road,-37.865883,144.71982,2025-09-09 16:31:30,17750709,,12,0,0,False,House,House,Reliance Real Estate Point Cook,26805,"Zelda Van Rensburg, Deolinda Moreira, Yash Shaw","Secure Parking, Heating",https://www.domain.com.au/6-bushfield-road-truganina-vic-3029-17750709
17750772,TRUGANINA,3029,490.0,2129.0,"Monday, 08 September 2025",2025-09-08,1,3,2,1.0,House,52 Panaia Boulevard,-37.74945,144.67513,2025-09-09 16:31:30,17750772,,24,1,0,False,House,House,Barry Plant Caroline Springs,11528,"Garnet Rodrigues, Property Management","Internal Laundry, Pets Allowed, Secure Parking, Broadband internet access, Bath, Heating, Dishwasher",https://www.domain.com.au/52-panaia-boulevard-truganina-vic-3029-17750772
17750790,TRUGANINA,3029,570.0,2477.0,"Friday, 19 September 2025",2025-09-08,1,3,3,2.0,House,38 Gemini Cres,-37.833454,144.72502,2025-09-09 16:31:30,17750790,,11,0,0,False,House,House,Image Property South Melbourne,31002,Kimmy Nel,"Built in wardrobes, Secure Parking",https://www.domain.com.au/38-gemini-cres-truganina-vic-3029-17750790
17751230,TRUGANINA,3029,520.0,2260.0,"Tuesday, 07 October 2025",2025-09-08,1,4,2,2.0,House,6 Banahaw Road,-37.75018,144.68143,2025-09-09 16:31:30,17751230,,15,0,1,False,House,House,Xynergy Realty Altona,31396,Kenny Gregorius,"Internal Laundry, Secure Parking, Bath",https://www.domain.com.au/6-banahaw-road-truganina-vic-3029-17751230
17751375,TRUGANINA,3029,520.0,2260.0,"Wednesday, 15 October 2025",2025-09-08,1,4,2,2.0,House,18 Talliver Terrace,-37.84741,144.71667,2025-09-09 16:31:30,17751375,,11,0,0,False,House,House,Huxley Real Estate,38920,"Jetah Keighran, Shae Joiner",Dishwasher,https://www.domain.com.au/18-talliver-terrace-truganina-vic-3029-17751375
17751635,TRUGANINA,3029,540.0,2347.0,"Friday, 03 October 2025",2025-09-08,1,4,2,2.0,House,26 Clearwood Drive,-37.840813,144.7193,2025-09-09 16:31:30,17751635,,10,0,0,False,House,House,VICPROP Point Cook and Williams Landing,33528,"Lisha Wen, Leasing Team Vicprop",Heating,https://www.domain.com.au/26-clearwood-drive-truganina-vic-3029-17751635
17751653,TRUGANINA,3029,550.0,2390.0,"Friday, 12 September 2025",2025-09-08,1,4,2,2.0,House,32 Barmera Way,-37.846157,144.722,2025-09-09 16:31:30,17751653,,8,0,0,False,House,House,First National Westwood ,6441,"Jai Grant, Shenay Caglar","Gas, Internal Laundry, Secure Parking, Ensuite, Dishwasher, Built in wardrobes, Air-Conditioner, Ducted Heating, Ducted Cooling, Split System Heating, Solar panels",https://www.domain.com.au/32-barmera-way-truganina-vic-3029-17751653
17752958,TRUGANINA,3029,540.0,2346.0,"Wednesday, 01 October 2025",2025-09-09,0,4,2,2.0,House,34 Sama Promenade,-37.75683,144.67352,2025-09-09 16:31:30,17752958,,13,0,0,False,House,House,REDDY G REAL ESTATE AGENTS,34544,"Sneha Boya, Sushmitha Reddy","Internal Laundry, Secure Parking, Heating, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Alarm System, Close to schools, Ensuite, Security Access, Prestige Homes, Carpeted, Creative, Dishwasher",https://www.domain.com.au/34-sama-promenade-truganina-vic-3029-17752958
17753709,TRUGANINA,3029,520.0,2260.0,"Monday, 15 September 2025",2025-09-09,0,4,2,2.0,House,102 Conondale Avenue,-37.767994,144.68709,2025-09-09 16:31:30,17753709,,20,0,0,False,House,House,First National Real Estate Lakra,23132,Vivek Rana,"Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/102-conondale-avenue-truganina-vic-3029-17753709
17754251,TRUGANINA,3029,695.0,3011.0,"Tuesday, 09 September 2025",2025-09-09,0,6,3,2.0,House,33 Conondale Avenue,-37.768482,144.69252,2025-09-09 16:31:30,17754251,,8,0,0,False,House,House,Laing+Simmons Point Cook,38497,"Leasing Team, Miraj Mahmud","Heating, Study",https://www.domain.com.au/33-conondale-avenue-truganina-vic-3029-17754251
15764962,TRUGANINA,3029,580.0,2520.0,"Friday, 05 September 2025",2025-08-05,35,4,2,2.0,House,33 Orlando Drive,-37.840923,144.72717,2025-09-09 16:31:36,15764962,YO-2645-JW,11,0,0,False,House,House,Ray White Truganina,29324,"Mehreen Tariq, Palak Joshi","Heating, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/33-orlando-drive-truganina-vic-3029-15764962
16477159,TRUGANINA,3029,490.0,2129.0,"Saturday, 02 August 2025",2025-07-04,67,4,2,2.0,House,19 Galeras Street,-37.762417,144.67734,2025-09-09 16:31:36,16477159,GH-6076-XQ,17,0,0,False,House,House,Ray White Tarneit,23886,"Marvin Paed, Savi Sarain","Air conditioning, Gas, Secure Parking, Heating, Ensuite",https://www.domain.com.au/19-galeras-street-truganina-vic-3029-16477159
16519180,TRUGANINA,3029,510.0,2216.0,"Friday, 22 August 2025",2025-08-11,28,4,2,2.0,House,25 Yellowstone Drive,-37.77005,144.69154,2025-09-09 16:31:36,16519180,SE-7512-NY,15,0,0,False,House,House,Ray White Tarneit,23886,"Marvin Paed, Savi Sarain","Built in wardrobes, Internal Laundry, Secure Parking, Heating, Dishwasher, Fully fenced",https://www.domain.com.au/25-yellowstone-drive-truganina-vic-3029-16519180
17396472,TRUGANINA,3029,530.0,2303.0,"Tuesday, 09 September 2025",2025-09-01,8,3,2,2.0,House,7 WANDANA WALK,-37.83406,144.7159,2025-09-09 16:31:36,17396472,UM-4572-TF,13,0,0,False,House,House,Ray White Truganina,29324,"Mehreen Tariq, Palak Joshi","Built in wardrobes, Secure Parking, Bath",https://www.domain.com.au/7-wandana-walk-truganina-vic-3029-17396472
17686193,TRUGANINA,3029,420.0,1825.0,"Friday, 15 August 2025",2025-07-25,46,2,2,1.0,House,57 Altezze Drive,-37.75144,144.68027,2025-09-09 16:31:36,17686193,,8,0,0,False,House,House,Ray White West Realty,28524,"Louise Ericksen, Chantae Jones","Secure Parking, Balcony / Deck",https://www.domain.com.au/57-altezze-drive-truganina-vic-3029-17686193
17703134,TRUGANINA,3029,540.0,2346.0,"Wednesday, 20 August 2025",2025-08-06,34,3,2,2.0,House,33 Glenfern Circuit,-37.845886,144.73883,2025-09-09 16:31:36,17703134,,11,0,0,False,House,House,Ray White Truganina,29324,"Mounika Reddy, Palak Joshi","Air conditioning, Heating",https://www.domain.com.au/33-glenfern-circuit-truganina-vic-3029-17703134
17708406,TRUGANINA,3029,580.0,2513.0,"Monday, 15 September 2025",2025-08-10,30,4,2,2.0,House,9 Edmonton Avenue,-37.843216,144.74263,2025-09-09 16:31:36,17708406,,18,0,0,False,House,House,Shaw Estate Agents,30491,Sophie Shaw,,https://www.domain.com.au/9-edmonton-avenue-truganina-vic-3029-17708406
17713799,TRUGANINA,3029,570.0,2477.0,"Thursday, 21 August 2025",2025-08-13,27,4,2,2.0,House,11 Beatty Avenue,-37.840824,144.71205,2025-09-09 16:31:36,17713799,,12,0,0,False,House,House,Ray White Truganina,29324,"Mehreen Tariq, Palak Joshi","Internal Laundry, Secure Parking, Bath",https://www.domain.com.au/11-beatty-avenue-truganina-vic-3029-17713799
17722072,TRUGANINA,3029,485.0,2107.0,"Friday, 12 September 2025",2025-08-19,21,3,2,2.0,House,12 Oxbow Walk,-37.8311,144.71599,2025-09-09 16:31:36,17722072,,11,0,0,False,House,House,Ray White Truganina,29324,"Mehreen Tariq, Palak Joshi",,https://www.domain.com.au/12-oxbow-walk-truganina-vic-3029-17722072
17725609,TRUGANINA,3029,550.0,2390.0,"Thursday, 11 September 2025",2025-08-21,19,4,2,2.0,House,21 Amukta Road,-37.7612,144.67513,2025-09-09 16:31:36,17725609,,13,0,0,False,House,House,THE LANCORE WEST AND NORTH,35534,"HK  Dhindsa, Jot  Dhaliwal",,https://www.domain.com.au/21-amukta-road-truganina-vic-3029-17725609
17727024,TRUGANINA,3029,500.0,2172.0,"Wednesday, 20 August 2025",2025-08-22,18,4,2,2.0,House,18 Liali Avenue,-37.755993,144.67485,2025-09-09 16:31:36,17727024,,6,0,0,False,House,House,Jellis Craig Inner West,19574,"Sala Liku, Zac Keltie","Air conditioning, Built in wardrobes, Outdoor Entertainment Area, Dishwasher, Ducted Heating",https://www.domain.com.au/18-liali-avenue-truganina-vic-3029-17727024
17731203,TRUGANINA,3029,495.0,2151.0,"Tuesday, 26 August 2025",2025-08-26,14,4,2,2.0,House,13 Coronado Crescent,-37.748085,144.67917,2025-09-09 16:31:36,17731203,,16,0,0,False,House,House,Ray White Truganina,29324,"Mounika Reddy, Palak Joshi",Secure Parking,https://www.domain.com.au/13-coronado-crescent-truganina-vic-3029-17731203
17733096,TRUGANINA,3029,560.0,2433.0,"Tuesday, 16 September 2025",2025-08-26,13,4,2,2.0,House,15 Midgard Street,-37.835796,144.7212,2025-09-09 16:31:36,17733096,,14,0,0,False,House,House,Ray White Truganina,29324,"Mehreen Tariq, Palak Joshi",Secure Parking,https://www.domain.com.au/15-midgard-street-truganina-vic-3029-17733096
17739804,TRUGANINA,3029,520.0,2260.0,"Thursday, 18 September 2025",2025-09-01,8,4,2,2.0,House,26 Galeras Street,-37.762405,144.67682,2025-09-09 16:31:36,17739804,,12,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi","Secure Parking, Solar panels",https://www.domain.com.au/26-galeras-street-truganina-vic-3029-17739804
17739898,TRUGANINA,3029,580.0,2520.0,"Monday, 01 September 2025",2025-09-01,8,4,2,2.0,House,18 Paroo Street,-37.764183,144.68555,2025-09-09 16:31:36,17739898,,18,0,0,False,House,House,Ray White Truganina,29324,"Mounika Reddy, Palak Joshi","Secure Parking, Heating, Study",https://www.domain.com.au/18-paroo-street-truganina-vic-3029-17739898
17741940,TRUGANINA,3029,500.0,2173.0,"Thursday, 18 September 2025",2025-09-01,7,4,2,2.0,House,18 Panaia Boulevard,-37.747425,144.67587,2025-09-09 16:31:36,17741940,,13,0,0,False,House,House,Ray White Truganina,29324,"Mounika Reddy, Palak Joshi",Secure Parking,https://www.domain.com.au/18-panaia-boulevard-truganina-vic-3029-17741940
17746555,TRUGANINA,3029,500.0,2173.0,"Thursday, 04 September 2025",2025-09-04,5,4,2,2.0,House,8 Bruno Avenue,-37.75735,144.67503,2025-09-09 16:31:36,17746555,,13,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi",Secure Parking,https://www.domain.com.au/8-bruno-avenue-truganina-vic-3029-17746555
17746886,TRUGANINA,3029,650.0,2824.0,"Thursday, 04 September 2025",2025-09-04,5,4,2,2.0,House,21 Vantage Place,-37.840664,144.70901,2025-09-09 16:31:36,17746886,,21,0,0,False,House,House,Ray White Truganina,29324,"Mehreen Tariq, Palak Joshi",Secure Parking,https://www.domain.com.au/21-vantage-place-truganina-vic-3029-17746886
17747640,TRUGANINA,3029,550.0,2390.0,"Thursday, 04 September 2025",2025-09-04,5,4,2,1.0,House,7 Tallgrass Avenue,-37.86667,144.71878,2025-09-09 16:31:36,17747640,,13,0,0,False,House,House,Ray White Truganina,29324,"Mehreen Tariq, Palak Joshi","Built in wardrobes, Secure Parking",https://www.domain.com.au/7-tallgrass-avenue-truganina-vic-3029-17747640
17749916,TRUGANINA,3029,470.0,2042.0,"Saturday, 18 October 2025",2025-09-05,3,4,2,2.0,House,30 Bet Street,-37.76242,144.67249,2025-09-09 16:31:36,17749916,,7,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi","Built in wardrobes, Internal Laundry",https://www.domain.com.au/30-bet-street-truganina-vic-3029-17749916
16076984,TRUGANINA,3029,500.0,2166.0,"Monday, 08 September 2025",2025-08-18,21,3,2,1.0,House,77 Alison Street,-37.858147,144.72577,2025-09-09 16:31:41,16076984,FU-5684-YQ,14,0,0,False,House,House,The Eleet Wyndham City,32072,Eleet Property Leasing,"Floorboards, Built in wardrobes, Heating, Fully fenced, Energy efficient appliances, Solar panels",https://www.domain.com.au/77-alison-street-truganina-vic-3029-16076984
16084387,TRUGANINA,3029,620.0,2694.0,"Saturday, 06 September 2025",2025-08-08,32,4,2,2.0,House,31 Mitcham Street,-37.826145,144.72493,2025-09-09 16:31:41,16084387,XU-8728-DT,15,0,0,False,House,House,Ray White Tarneit,23886,"Marvin Paed, Savi Sarain","Heating, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/31-mitcham-street-truganina-vic-3029-16084387
16174164,TRUGANINA,3029,520.0,2260.0,"Saturday, 13 September 2025",2025-08-15,25,3,2,2.0,House,37 Holly Green Circuit,-37.838566,144.72629,2025-09-09 16:31:41,16174164,DS-2410-MI,12,0,0,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Internal Laundry, Heating, Dishwasher, Balcony / Deck, Air conditioning, Ensuite, Built in wardrobes, Secure Parking, Solar hot water, Solar panels",https://www.domain.com.au/37-holly-green-circuit-truganina-vic-3029-16174164
16524373,TRUGANINA,3029,500.0,2173.0,"Tuesday, 16 September 2025",2025-08-19,21,4,2,2.0,House,19 Crosby Street,-37.759094,144.68802,2025-09-09 16:31:41,16524373,DG-3161-GX,11,0,0,False,House,House,ACE Real Estate,19089,"Alphie Jacob, Chloe Baira","Built in wardrobes, Gas, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/19-crosby-street-truganina-vic-3029-16524373
16562681,TRUGANINA,3029,530.0,2303.0,"Saturday, 19 April 2025",2025-04-17,145,4,2,2.0,House,9 Durell Road,-37.826706,144.71114,2025-09-09 16:31:41,16562681,,14,0,0,False,House,House,Shine Real Estate Pty Ltd,27453,Rental Department,"Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/9-durell-road-truganina-vic-3029-16562681
16579134,TRUGANINA,3029,520.0,2253.0,"Tuesday, 30 September 2025",2025-09-03,6,4,2,2.0,House,1 Jude Cl,-37.824787,144.74869,2025-09-09 16:31:41,16579134,ID-5190-RM,15,0,1,False,House,House,Pine Crest Real Estate,35920,"Vijeta Kamboj, Taran Arora","Gas, Secure Parking, Heating, Ensuite",https://www.domain.com.au/1-jude-cl-truganina-vic-3029-16579134
16788040,TRUGANINA,3029,530.0,2303.0,"Sunday, 31 August 2025",2023-12-09,640,4,2,2.0,House,9 Aracar Street,-37.74951,144.68253,2025-09-09 16:31:41,16788040,CZ-2219-PX,16,1,0,False,House,House,BRW Group,34868,"BRW Leasing, Sinclair Mak",,https://www.domain.com.au/9-aracar-street-truganina-vic-3029-16788040
17095249,TRUGANINA,3029,490.0,2129.0,"Thursday, 11 September 2025",2025-08-12,28,4,2,2.0,House,3 Cowal Street,-37.765244,144.68646,2025-09-09 16:31:41,17095249,YX-7273-DN,17,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi",Heating,https://www.domain.com.au/3-cowal-street-truganina-vic-3029-17095249
17139274,TRUGANINA,3029,550.0,2383.0,"Thursday, 04 September 2025",2025-09-04,5,4,2,2.0,House,30 Terrigal Road,-37.754505,144.68127,2025-09-09 16:31:41,17139274,OG-2702-WS,24,0,0,False,House,House,The Eleet Wyndham City,32072,Eleet Property Leasing,"Internal Laundry, Alarm System, Built in wardrobes, Broadband internet access, Heating, Secure Parking, Double glazed windows, Energy efficient appliances",https://www.domain.com.au/30-terrigal-road-truganina-vic-3029-17139274
17346819,TRUGANINA,3029,530.0,2303.0,"Friday, 25 July 2025",2025-06-18,82,4,3,2.0,House,24 Sankuru Road,-37.770752,144.68999,2025-09-09 16:31:41,17346819,UE-3761-NM,11,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi","Secure Parking, Heating",https://www.domain.com.au/24-sankuru-road-truganina-vic-3029-17346819
17684394,TRUGANINA,3029,455.0,1978.0,"Thursday, 24 July 2025",2025-07-24,47,4,3,2.0,Townhouse,9 Craycroft Road,-37.762283,144.6721,2025-09-09 16:31:41,17684394,,13,0,0,False,Townhouse/Villa,Townhouse,Stockdale & Leggo Craigieburn/Mickleham,31877,"Lauren Vicary, Natalie Kent","Secure Parking, Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Water Views",https://www.domain.com.au/9-craycroft-road-truganina-vic-3029-17684394
17711797,TRUGANINA,3029,510.0,2216.0,"Friday, 15 August 2025",2025-08-12,28,4,2,2.0,House,5 Weyba Street,-37.75334,144.68346,2025-09-09 16:31:41,17711797,,7,0,0,False,House,House,Equity Estate Agents,37028,Cathy Boccia,Secure Parking,https://www.domain.com.au/5-weyba-street-truganina-vic-3029-17711797
17714501,TRUGANINA,3029,500.0,2173.0,"Thursday, 14 August 2025",2025-08-13,26,4,2,2.0,Townhouse,6 Cupola Walk,-37.747208,144.68103,2025-09-09 16:31:41,17714501,,14,0,0,False,Townhouse/Villa,Townhouse,Stockdale & Leggo Craigieburn/Mickleham,31877,"Lauren Vicary, Natalie Kent","Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Fully fenced, Garden / Courtyard, Wall Panel Heating",https://www.domain.com.au/6-cupola-walk-truganina-vic-3029-17714501
17726941,TRUGANINA,3029,460.0,1999.0,"Friday, 22 August 2025",2025-08-21,18,4,2,2.0,House,14 Cupola Walk,-37.747303,144.6813,2025-09-09 16:31:41,17726941,,12,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Lauren Vicary, Natalie Kent","Ensuite, Internal Laundry, Bath, Heating, Dishwasher",https://www.domain.com.au/14-cupola-walk-truganina-vic-3029-17726941
17731608,TRUGANINA,3029,530.0,2303.0,"Tuesday, 26 August 2025",2025-08-26,14,4,2,2.0,House,16 Fenton Court,-37.84382,144.71587,2025-09-09 16:31:41,17731608,,15,0,0,False,House,House,Ray White Tarneit,23886,"Marvin Paed, Savi Sarain","Internal Laundry, Broadband internet access, Bath, Heating, Dishwasher, Air conditioning, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/16-fenton-court-truganina-vic-3029-17731608
17731954,TRUGANINA,3029,510.0,2216.0,"Tuesday, 26 August 2025",2025-08-26,14,3,2,1.0,House,2 Tobol Street,-37.767033,144.6887,2025-09-09 16:31:41,17731954,,14,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi",Secure Parking,https://www.domain.com.au/2-tobol-street-truganina-vic-3029-17731954
17733585,TRUGANINA,3029,590.0,2564.0,"Wednesday, 24 September 2025",2025-08-27,13,4,2,2.0,House,899 Morris Road,-37.8206,144.71057,2025-09-09 16:31:41,17733585,,14,1,0,False,House,House,Ray White Tarneit,23886,"Marvin Paed, Savi Sarain","Secure Parking, Heating",https://www.domain.com.au/899-morris-road-truganina-vic-3029-17733585
17739110,TRUGANINA,3029,450.0,1956.0,"Saturday, 30 August 2025",2025-08-29,10,4,2,2.0,House,8 Cupola Walk,-37.747234,144.6811,2025-09-09 16:31:41,17739110,,14,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Lauren Vicary, Natalie Kent","Secure Parking, Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher",https://www.domain.com.au/8-cupola-walk-truganina-vic-3029-17739110
17743048,TRUGANINA,3029,455.0,1978.0,"Tuesday, 02 September 2025",2025-09-02,7,4,3,2.0,Townhouse,7 Craycroft Road,-37.76223,144.67212,2025-09-09 16:31:41,17743048,,12,0,0,False,Townhouse/Villa,Townhouse,Stockdale & Leggo Craigieburn/Mickleham,31877,"Lauren Vicary, Natalie Kent","Secure Parking, Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher",https://www.domain.com.au/7-craycroft-road-truganina-vic-3029-17743048
17747587,TRUGANINA,3029,550.0,2390.0,"Thursday, 04 September 2025",2025-09-04,5,4,2,2.0,House,16 Roccella Avenue,-37.74771,144.6768,2025-09-09 16:31:41,17747587,,8,0,1,False,House,House,Huxley Real Estate,38920,"Jetah Keighran, Shae Joiner","Internal Laundry, Secure Parking, Broadband internet access, Ensuite, Built in wardrobes, Bath, Heating, Dishwasher",https://www.domain.com.au/16-roccella-avenue-truganina-vic-3029-17747587
15103182,TRUGANINA,3029,610.0,2651.0,"Saturday, 20 September 2025",2025-08-14,26,4,2,2.0,House,8 Morse Street,-37.82444,144.71423,2025-09-09 16:31:47,15103182,RD-5175-MM,15,0,0,False,House,House,Sahara Real Estate,30767,"Robyn Morgan, Sahara RE Admin","Bath, Heating, Study, Air conditioning, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/8-morse-street-truganina-vic-3029-15103182
15738895,TRUGANINA,3029,510.0,2216.0,"Saturday, 20 September 2025",2025-09-01,8,3,2,2.0,House,3 Choy Street,-37.850964,144.73898,2025-09-09 16:31:47,15738895,JY-9690-ZI,10,0,0,False,House,House,Harcourts Point Cook,20054,Solene Para,"Internal Laundry, Secure Parking, Heating, Ensuite",https://www.domain.com.au/3-choy-street-truganina-vic-3029-15738895
15995858,TRUGANINA,3029,520.0,2260.0,"Monday, 15 September 2025",2025-08-27,13,4,2,2.0,House,35 Gila Way,-37.767735,144.69218,2025-09-09 16:31:47,15995858,UP-6139-RH,16,0,0,False,House,House,Harcourts Point Cook,20054,Solene Para,"Internal Laundry, Secure Parking, Heating, Ensuite",https://www.domain.com.au/35-gila-way-truganina-vic-3029-15995858
16456733,TRUGANINA,3029,460.0,1999.0,"Monday, 18 August 2025",2025-08-13,27,3,2,1.0,House,17 Moombil Road,-37.767166,144.69179,2025-09-09 16:31:47,16456733,SL-5615-FE,10,0,0,False,House,House,ONE Agency Property Masters,32157,"Divya Sachdeva, Dinesh Khurana",Internal Laundry,https://www.domain.com.au/17-moombil-road-truganina-vic-3029-16456733
16539027,TRUGANINA,3029,560.0,2426.0,"Friday, 05 September 2025",2025-09-05,4,4,2,2.0,House,920 Morris Road,-37.818165,144.71164,2025-09-09 16:31:47,16539027,JP-3194-NS,6,0,0,False,House,House,Bal Real Estate ,34023,"Deepti Malhotra, Sandeep Sanjeev","Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/920-morris-road-truganina-vic-3029-16539027
17412797,TRUGANINA,3029,530.0,2303.0,"Monday, 06 October 2025",2025-09-04,5,4,3,2.0,House,171 Clara Avenue,-37.766983,144.69115,2025-09-09 16:31:47,17412797,WN-7483-TJ,12,0,0,False,House,House,Ray White Werribee,29214,"Maya Hunak, Marc Tanti","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/171-clara-avenue-truganina-vic-3029-17412797
17704658,TRUGANINA,3029,525.0,2281.0,"Wednesday, 13 August 2025",2025-08-07,33,3,2,2.0,Townhouse,6 Artichoke Walk,-37.821644,144.7173,2025-09-09 16:31:47,17704658,,7,0,0,False,Townhouse/Villa,Townhouse,Ray White Werribee,29214,"Maya Hunak, Marc Tanti","Secure Parking, Heating",https://www.domain.com.au/6-artichoke-walk-truganina-vic-3029-17704658
17710924,TRUGANINA,3029,460.0,1999.0,"Tuesday, 12 August 2025",2025-08-12,28,4,2,2.0,House,30 Sama Promenade,-37.75662,144.67363,2025-09-09 16:31:47,17710924,,11,0,0,False,House,House,Ray White Rockbank,34315,"Savvy Sidhu, Reet Sarain","Secure Parking, Heating",https://www.domain.com.au/30-sama-promenade-truganina-vic-3029-17710924
